Title	Abbreviation	ISSN	EISSN	Bibliography	Citation
Educational Assessment, Evaluation and Accountability	Educ Asse Eval Acc	1874-8597	1874-8600	APA	NameYear
Educational Psychology Review	Educ Psychol Rev	1040-726X	1573-336X	APA	NameYear
Educational Research for Policy and Practice	Educ Res Policy Prac	1570-2081	1573-1723	APA	NameYear
Educational Studies in Mathematics	Educ Stud Math	0013-1954	1573-0816	APA	NameYear
Educational Technology Research and Development	Education Tech Research Dev	1042-1629	1556-6501	APA	NameYear
Electronic Markets	Electron Markets	1019-6781	1422-8890	APA	NameYear
Employee Responsibilities and Rights Journal	Employ Respons Rights J	0892-7545	1573-3378	APA	NameYear
Energy Efficiency	Energy Efficiency	1570-646X	1570-6478	APA	NameYear
Environment, Development and Sustainability	Environ Dev Sustain	1387-585X	1573-2975	APA	NameYear
Environmental Geochemistry and Health	Environ Geochem Health	0269-4042	1573-2983	APA	NameYear
Environmental Monitoring and Assessment	Environ Monit Assess	0167-6369	1573-2959	APA	NameYear
Erkenntnis	Erkenn	0165-0106	1572-8420	APA	NameYear
Ethics and Information Technology	Ethics Inf Technol	1388-1957	1572-8439	APA	NameYear
European Journal for Philosophy of Science	Euro Jnl Phil Sci	1879-4912	1879-4920	APA	NameYear
European Journal of Law and Economics	Eur J Law Econ	0929-1261	1572-9990	APA	NameYear
European Journal of Plant Pathology	Eur J Plant Pathol	0929-1873	1573-8469	APA	NameYear
European Journal of Population / Revue européenne de Démographie	Eur J Population	0168-6577	1572-9885	APA	NameYear
European Journal of Psychology of Education	Eur J Psychol Educ	0256-2928	1878-5174	APA	NameYear
European Journal on Criminal Policy and Research	Eur J Crim Policy Res	0928-1371	1572-9869	APA	NameYear
European View	European View	1781-6858	1865-5831	APA	NameYear
Evolutionary Biology	Evol Biol	0071-3260	1934-2845	APA	NameYear
Experimental Economics	Exp Econ	1386-4157	1573-6938	APA	NameYear
Food and Bioprocess Technology	Food Bioprocess Technol	1935-5130	1935-5149	APA	NameYear
Food and Environmental Virology	Food Environ Virol	1867-0334	1867-0342	APA	NameYear
Food Security	Food Sec.	1876-4517	1876-4525	APA	NameYear
Foundations of Science	Found Sci	1233-1821	1572-8471	APA	NameYear
Fuzzy Optimization and Decision Making	Fuzzy Optim Decis Making	1568-4539	1573-2908	APA	NameYear
GeoJournal	GeoJournal	0343-2521	1572-9893	APA	NameYear
Global Business Perspectives	J of International Network of Bus and Manag	2194-0061	2194-007X	APA	NameYear
Global Journal of Flexible Systems Management	Glob J Flex Syst Manag	0972-2696	0974-0198	APA	NameYear
Gruppendynamik und Organisationsberatung	Gruppendyn Organisationsberat	1618-7849	1862-2615	APA	NameYear
HEC Forum	HEC Forum	0956-2737	1572-8498	APA	NameYear
Higher Education	High Educ	0018-1560	1573-174X	APA	NameYear
Human Nature	Hum Nat	1045-6767	1936-4776	APA	NameYear
Human Studies	Hum Stud	0163-8548	1572-851X	APA	NameYear
Husserl Studies	Husserl Stud	0167-9848	1572-8501	APA	NameYear
Information Retrieval	Inf Retrieval	1386-4564	1573-7659	APA	NameYear
Information Systems Frontiers	Inf Syst Front	1387-3326	1572-9419	APA	NameYear
Innovative Higher Education	Innov High Educ	0742-5627	1573-1758	APA	NameYear
Instructional Science	Instr Sci	0020-4277	1573-1952	APA	NameYear
Integrative Psychological and Behavioral Science	Integr. psych. behav.	1932-4502	1936-3567	APA	NameYear
Interchange	Interchange	0826-4805	1573-1790	APA	NameYear
International Advances in Economic Research	Int Adv Econ Res	1083-0898	1573-966X	APA	NameYear
International Entrepreneurship and Management Journal	Int Entrep Manag J	1554-7191	1555-1938	APA	NameYear
International Environmental Agreements: Politics, Law and Economics	Int Environ Agreements	1567-9764	1573-1553	APA	NameYear
International Journal for Educational and Vocational Guidance	Int J Educ Vocat Guidance	0251-2513	1573-1782	APA	NameYear
International Journal for Philosophy of Religion	Int J Philos Relig	0020-7047	1572-8684	APA	NameYear
International Journal for the Advancement of Counselling	Int J Adv Counselling	0165-0653	1573-3246	APA	NameYear
International Journal of Computer Vision	Int J Comput Vis	0920-5691	1573-1405	APA	NameYear
International Journal of Computer-Supported Collaborative Learning	Computer Supported Learning	1556-1607	1556-1615	APA	NameYear
International Journal of Early Childhood	IJEC	0020-7187	1878-4658	APA	NameYear
International Journal of Health Care Finance and Economics	Int J Health Care Finance Econ	1389-6563	1573-6962	APA	NameYear
International Journal of Mental Health and Addiction	Int J Ment Health Addiction	1557-1874	1557-1882	APA	NameYear
International Journal of Politics, Culture, and Society	Int J Polit Cult Soc	0891-4486	1573-3416	APA	NameYear
International Journal of Primatology	Int J Primatol	0164-0291	1573-8604	APA	NameYear
International Journal of Science and Mathematics Education	Int J of Sci and Math Educ	1571-0068	1573-1774	APA	NameYear
International Journal of Speech Technology	Int J Speech Technol	1381-2416	1572-8110	APA	NameYear
International Journal of Technology and Design Education	Int J Technol Des Educ	0957-7572	1573-1804	APA	NameYear
International Review of Education	Int Rev Educ	0020-8566	1573-0638	APA	NameYear
International Tax and Public Finance	Int Tax Public Finance	0927-5940	1573-6970	APA	NameYear
Journal for General Philosophy of Science	J Gen Philos Sci	0925-4560	1572-8587	APA	NameYear
Journal für Mathematik-Didaktik	J Math Didakt	0173-5322	1869-2699	APA	NameYear
Journal of Abnormal Child Psychology	J Abnorm Child Psychol	0091-0627	1573-2835	APA	NameYear
Journal of Academic Ethics	J Acad Ethics	1570-1727	1572-8544	APA	NameYear
Journal of Adult Development	J Adult Dev	1068-0667	1573-3440	APA	NameYear
Journal of African American Studies	J Afr Am St	1559-1646	1936-4741	APA	NameYear
Journal of Agricultural and Environmental Ethics	J Agric Environ Ethics	1187-7863	1573-322X	APA	NameYear
Journal of Archaeological Method and Theory	J Archaeol Method Theory	1072-5369	1573-7764	APA	NameYear
Journal of Autism and Developmental Disorders	J Autism Dev Disord	0162-3257	1573-3432	APA	NameYear
Journal of Behavioral Education	J Behav Educ	1053-0819	1573-3513	APA	NameYear
Journal of Behavioral Medicine	J Behav Med	0160-7715	1573-3521	APA	NameYear
Journal of Bioeconomics	J Bioecon	1387-6996	1573-6989	APA	NameYear
Journal of Business and Psychology	J Bus Psychol	0889-3268	1573-353X	APA	NameYear
Journal of Business Ethics	J Bus Ethics	0167-4544	1573-0697	APA	NameYear
Journal of Child and Family Studies	J Child Fam Stud	1062-1024	1573-2843	APA	NameYear
Journal of Clinical Psychology in Medical Settings	J Clin Psychol Med Settings	1068-9583	1573-3572	APA	NameYear
Journal of Computational Neuroscience	J Comput Neurosci	0929-5313	1573-6873	APA	NameYear
Journal of Computing in Higher Education	J Comput High Educ	1042-1726	1867-1233	APA	NameYear
Journal of Consumer Policy	J Consum Policy	0168-7034	1573-0700	APA	NameYear
Journal of Contemporary Psychotherapy	J Contemp Psychother	0022-0116	1573-3564	APA	NameYear
Journal of Cross-Cultural Gerontology	J Cross Cult Gerontol	0169-3816	1573-0719	APA	NameYear
Journal of Cultural Economics	J Cult Econ	0885-2545	1573-6997	APA	NameYear
Journal of Developmental and Physical Disabilities	J Dev Phys Disabil	1056-263X	1573-3580	APA	NameYear
Journal of Economic Growth	J Econ Growth	1381-4338	1573-7020	APA	NameYear
Journal of Educational Change	J Educ Change	1389-2843	1573-1812	APA	NameYear
Journal of Experimental Criminology	J Exp Criminol	1573-3750	1572-8315	APA	NameYear
Journal of Family and Economic Issues	J Fam Econ Iss	1058-0476	1573-3475	APA	NameYear
Journal of Family Violence	J Fam Viol	0885-7482	1573-2851	APA	NameYear
Journal of Gambling Studies	J Gambl Stud	1573-3602	1573-3602	APA	NameYear
Journal of Genetic Counseling	J Genet Counsel	1059-7700	1573-3599	APA	NameYear
Journal of Happiness Studies	J Happiness Stud	1389-4978	1573-7780	APA	NameYear
Journal of Housing and the Built Environment	J Hous and the Built Environ	1566-4910	1573-7772	APA	NameYear
Journal of Indian Philosophy	J Indian Philos	0022-1791	1573-0395	APA	NameYear
Journal of Intelligent Information Systems	J Intell Inf Syst	0925-9902	1573-7675	APA	NameYear
Journal of Intelligent Manufacturing	J Intell Manuf	0956-5515	1572-8145	APA	NameYear
Journal of International Migration and Integration	Int. Migration & Integration	1488-3473	1874-6365	APA	NameYear
Journal of Logic, Language and Information	J of Log Lang and Inf	0925-8531	1572-9583	APA	NameYear
Journal of Management & Governance	J Manag Gov	1385-3457	1572-963X	APA	NameYear
Journal of Management Control	J Manag Control	2191-4761	2191-477X	APA	NameYear
Journal of Mathematics Teacher Education	J Math Teacher Educ	1386-4416	1573-1820	APA	NameYear
Journal of Nonverbal Behavior	J Nonverbal Behav	0191-5886	1573-3653	APA	NameYear
Journal of Population Ageing	Population Ageing	1874-7884	1874-7876	APA	NameYear
Journal of Population Research	J Pop Research	1443-2447	1835-9469	APA	NameYear
Journal of Psycholinguistic Research	J Psycholinguist Res	0090-6905	1573-6555	APA	NameYear
Journal of Psychopathology and Behavioral Assessment	J Psychopathol Behav Assess	0882-2689	1573-3505	APA	NameYear
Journal of Rational-Emotive & Cognitive-Behavior Therapy	J Rat-Emo Cognitive-Behav Ther	0894-9085	1573-6563	APA	NameYear
Journal of Regulatory Economics	J Regul Econ	0922-680X	1573-0468	APA	NameYear
Journal of Religion and Health	J Relig Health	0022-4197	1573-6571	APA	NameYear
Journal of Risk and Uncertainty	J Risk Uncertain	0895-5646	1573-0476	APA	NameYear
Journal of Scheduling	J Sched	1094-6136	1099-1425	APA	NameYear
Journal of Science Teacher Education	J Sci Teacher Educ	1046-560X	1573-1847	APA	NameYear
Journal of the Academy of Marketing Science	J. of the Acad. Mark. Sci.	0092-0703	1552-7824	APA	NameYear
Journal of the Indian Society of Remote Sensing	J Indian Soc Remote Sens	0255-660X	0974-3006	APA	NameYear
Journal of the Knowledge Economy	J Knowl Econ	1868-7865	1868-7873	APA	NameYear
Journal of World Prehistory	J World Prehist	0892-7537	1573-7802	APA	NameYear
Journal of Youth and Adolescence	J Youth Adolescence	0047-2891	1573-6601	APA	NameYear
Language Policy	Lang Policy	1568-4555	1573-1863	APA	NameYear
Language Resources and Evaluation	Lang Resources & Evaluation	1574-020X	1574-0218	APA	NameYear
Learning Environments Research	Learning Environ Res	1387-1579	1573-1855	APA	NameYear
Linguistics and Philosophy	Linguist and Philos	0165-0157	1573-0549	APA	NameYear
Machine Learning	Mach Learn	0885-6125	1573-0565	APA	NameYear
Management International Review	Manag Int Rev	0938-8249	1861-8901	APA	NameYear
Marketing Letters	Mark Lett	0923-0645	1573-059X	APA	NameYear
Mathematics Education Research Journal	Math Ed Res J	1033-2170	2211-050X	APA	NameYear
Metabolomics	Metabolomics	1573-3882	1573-3890	APA	NameYear
Metacognition and Learning	Metacognition Learning	1556-1623	1556-1631	APA	NameYear
Mindfulness	Mindfulness	1868-8527	1868-8535	APA	NameYear
Minds and Machines	Minds & Machines	0924-6495	1572-8641	APA	NameYear
Morphology	Morphology	1871-5621	1871-5656	APA	NameYear
Motivation and Emotion	Motiv Emot	0146-7239	1573-6644	APA	NameYear
Multidimensional Systems and Signal Processing	Multidim Syst Sign Process	0923-6082	1573-0824	APA	NameYear
Natural Resources Research	Nat Resour Res	1520-7439	1573-8981	APA	NameYear
Neohelicon	Neohelicon	0324-4652	1588-2810	APA	NameYear
Neophilologus	Neophilologus	0028-2677	1572-8668	APA	NameYear
Neuroinformatics	Neuroinform	1539-2791	1559-0089	APA	NameYear
NeuroMolecular Medicine	Neuromol Med	1535-1084	1559-1174	APA	NameYear
Neuropsychology Review	Neuropsychol Rev	1040-7308	1573-6660	APA	NameYear
Organisationsberatung, Supervision, Coaching	Organisationsberat Superv Coach	1618-808X	1862-2577	APA	NameYear
Organisms Diversity & Evolution	Org Divers Evol	1439-6092	1618-1077	APA	NameYear
Pastoral Psychology	Pastoral Psychol	0031-2789	1573-6679	APA	NameYear
Phenomenology and the Cognitive Sciences	Phenom Cogn Sci	1568-7759	1572-8676	APA	NameYear
Philosophia	Philosophia	0048-3893	1574-9274	APA	NameYear
Philosophical Studies	Philos Stud	0031-8116	1573-0883	APA	NameYear
Philosophy & Technology	Philos. Technol.	2210-5433	2210-5441	APA	NameYear
Phytoparasitica	Phytoparasitica	0334-2123	1876-7184	APA	NameYear
Policy Sciences	Policy Sci	0032-2687	1573-0891	APA	NameYear
Political Behavior	Polit Behav	0190-9320	1573-6687	APA	NameYear
Population and Environment	Popul Environ	0199-0039	1573-7810	APA	NameYear
Population Research and Policy Review	Popul Res Policy Rev	0167-5923	1573-7829	APA	NameYear
Precision Agriculture	Precision Agric	1385-2256	1573-1618	APA	NameYear
Prevention Science	Prev Sci	1389-4986	1573-6695	APA	NameYear
PROSPECTS	Prospects	0033-1538	1573-9090	APA	NameYear
Psychological Injury and Law	Psychol. Inj. and Law	1938-971X	1938-9728	APA	NameYear
Psychological Research	Psychological Research	0340-0727	1430-2772	APA	NameYear
Psychological Studies	Psychol Stud	0033-2968	0974-9861	APA	NameYear
Psychometrika	Psychometrika	0033-3123	1860-0980	APA	NameYear
Public Choice	Public Choice	0048-5829	1573-7101	APA	NameYear
Public Organization Review	Public Organiz Rev	1566-7170	1573-7098	APA	NameYear
Publizistik	Publizistik	0033-4006	1862-2569	APA	NameYear
Quantitative Marketing and Economics	Quant Mark Econ	1570-7156	1573-711X	APA	NameYear
Race and Social Problems	Race Soc Probl	1867-1748	1867-1756	APA	NameYear
Reading and Writing	Read Writ	0922-4777	1573-0905	APA	NameYear
Research in Higher Education	Res High Educ	0361-0365	1573-188X	APA	NameYear
Research in Science Education	Res Sci Educ	0157-244X	1573-1898	APA	NameYear
Review of Accounting Studies	Rev Account Stud	1380-6653	1573-7136	APA	NameYear
Review of Derivatives Research	Rev Deriv Res	1380-6645	1573-7144	APA	NameYear
Review of Economics of the Household	Rev Econ Household	1569-5239	1573-7152	APA	NameYear
Review of Industrial Organization	Rev Ind Organ	0889-938X	1573-7160	APA	NameYear
Review of World Economics	Rev World Econ	1610-2878	1610-2886	APA	NameYear
Russian Linguistics	Russ Linguist	0304-3487	1572-8714	APA	NameYear
School Mental Health	School Mental Health	1866-2625	1866-2633	APA	NameYear
Science & Education	Sci & Educ	0926-7220	1573-1901	APA	NameYear
Science and Engineering Ethics	Sci Eng Ethics	1353-3452	1471-5546	APA	NameYear
Scientometrics	Scientometrics	0138-9130	1588-2861	APA	NameYear
Sex Roles	Sex Roles	0360-0025	1573-2762	APA	NameYear
Sexuality & Culture	Sexuality & Culture	1095-5143	1936-4822	APA	NameYear
Sexuality Research and Social Policy	Sex Res Soc Policy	1868-9884	1553-6610	APA	NameYear
Small Business Economics	Small Bus Econ	0921-898X	1573-0913	APA	NameYear
Social Indicators Research	Soc Indic Res	0303-8300	1573-0921	APA	NameYear
Social Justice Research	Soc Just Res	0885-7466	1573-6725	APA	NameYear
Social Psychology of Education	Soc Psychol Educ	1381-2890	1573-1928	APA	NameYear
Software Quality Journal	Software Qual J	0963-9314	1573-1367	APA	NameYear
Sophia	SOPHIA	0038-1527	1873-930X	APA	NameYear
Soziale Passagen	Soz Passagen	1867-0180	1867-0199	APA	NameYear
Sportwissenschaft	Sportwiss	0342-2380	1868-1069	APA	NameYear
Studies in East European Thought	Stud East Eur Thought	0925-9392	1573-0948	APA	NameYear
Studies in Philosophy and Education	Stud Philos Educ	0039-3746	1573-191X	APA	NameYear
Swarm Intelligence	Swarm Intell	1935-3812	1935-3820	APA	NameYear
Swiss Journal of Geosciences	Swiss J Geosci	1661-8726	1661-8734	APA	NameYear
Swiss Journal of Palaeontology	Swiss J Palaeontol	1664-2376	1664-2384	APA	NameYear
Synthese	Synthese	0039-7857	1573-0964	APA	NameYear
Systematic Parasitology	Syst Parasitol	0165-5752	1573-5192	APA	NameYear
Technology, Knowledge and Learning	Tech Know Learn	2211-1662	2211-1670	APA	NameYear
The American Sociologist	Am Soc	0003-1232	1936-4784	APA	NameYear
The Australian Educational Researcher	Aust. Educ. Res.	0311-6999	2210-5328	APA	NameYear
The Journal of Primary Prevention	J Primary Prevent	0278-095X	1573-6547	APA	NameYear
The Journal of Real Estate Finance and Economics	J Real Estate Finan Econ	0895-5638	1573-045X	APA	NameYear
The Journal of Technology Transfer	J Technol Transf	0892-9912	1573-7047	APA	NameYear
The Review of Austrian Economics	Rev Austrian Econ	0889-3047	1573-7128	APA	NameYear
The Review of International Organizations	Rev Int Organ	1559-7431	1559-744X	APA	NameYear
The Urban Review	Urban Rev	0042-0972	1573-1960	APA	NameYear
Theory and Decision	Theory Decis	0040-5833	1573-7187	APA	NameYear
Theory and Society	Theor Soc	0304-2421	1573-7853	APA	NameYear
Urban Forum	Urban Forum	1015-3802	1874-6330	APA	NameYear
Vocations and Learning	Vocations and Learning	1874-785X	1874-7868	APA	NameYear
VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations	Voluntas	0957-8765	1573-7888	APA	NameYear
Water, Air, & Soil Pollution	Water Air Soil Pollut	0049-6979	1573-2932	APA	NameYear
ZDM	ZDM Mathematics Education	1863-9690	1863-9704	APA	NameYear
Zeitschrift für Außen- und Sicherheitspolitik	Z Außen Sicherheitspolit	1866-2188	1866-2196	APA	NameYear
Zeitschrift für Bildungsforschung	Z f Bildungsforsch	2190-6890	2190-6904	APA	NameYear
Zeitschrift für Erziehungswissenschaft	Z Erziehungswiss	1434-663X	1862-5215	APA	NameYear
Zeitschrift für Psychodrama und Soziometrie	Z Psychodrama Soziometr	1619-5507	1862-2526	APA	NameYear
Analog Integrated Circuits and Signal Processing	Analog Integr Circ Sig Process	0925-1030	1573-1979	APA	Numbered
Applied Biochemistry and Biotechnology	Appl Biochem Biotechnol	0273-2289	1559-0291	APA	Numbered
Autonomous Agents and Multi-Agent Systems	Auton Agent Multi-Agent Syst	1387-2532	1573-7454	APA	Numbered
BioNanoScience	BioNanoSci.	2191-1630	2191-1649	APA	Numbered
Cancer and Metastasis Reviews	Cancer Metastasis Rev	0167-7659	1573-7233	APA	Numbered
Cardiovascular Toxicology	Cardiovasc Toxicol	1530-7905	1559-0259	APA	Numbered
Cell Biochemistry and Biophysics	Cell Biochem Biophys	1085-9195	1559-0283	APA	Numbered
Constraints	Constraints	1383-7133	1572-9354	APA	Numbered
Crime, Law and Social Change	Crime Law Soc Change	0925-4994	1573-0751	APA	Numbered
Electronic Commerce Research	Electron Commer Res	1389-5753	1572-9362	APA	Numbered
Environmental Modeling & Assessment	Environ Model Assess	1420-2026	1573-2967	APA	Numbered
Gender Issues	Gend. Issues	1098-092X	1936-4717	APA	Numbered
Health Care Analysis	Health Care Anal	1065-3058	1573-3394	APA	Numbered
Journal of Cardiovascular Translational Research	J. of Cardiovasc. Trans. Res.	1937-5387	1937-5395	APA	Numbered
Journal of Community Health	J Community Health	0094-5145	1573-3610	APA	Numbered
Journal of Interventional Cardiac Electrophysiology	J Interv Card Electrophysiol	1383-875X	1572-8595	APA	Numbered
Journal of Philosophical Logic	J Philos Logic	0022-3611	1573-0433	APA	Numbered
Journal of Signal Processing Systems	J Sign Process Syst 	1939-8018	1939-8115	APA	Numbered
Maternal and Child Health Journal	Matern Child Health J	1092-7875	1573-6628	APA	Numbered
Molecular Biotechnology	Mol Biotechnol	1073-6085	1559-0305	APA	Numbered
NETNOMICS: Economic Research and Electronic Networking	Netnomics	1385-9587	1573-7071	APA	Numbered
Quality of Life Research	Qual Life Res	0962-9343	1573-2649	APA	Numbered
Securitas Vialis	Securitas Vialis	1888-9697	1989-1679	APA	Numbered
Sensing and Imaging: An International Journal	Sens Imaging	1557-2064	1557-2072	APA	Numbered
Stem Cell Reviews and Reports	Stem Cell Rev and Rep	1550-8943	1558-6804	APA	Numbered
Telecommunication Systems	Telecommun Syst	1018-4864	1572-9451	APA	Numbered
Translational Behavioral Medicine	Behav. Med. Pract. Policy Res.	1869-6716	1613-9860	APA	Numbered
Wireless Networks	Wireless Netw	1022-0038	1572-8196	APA	Numbered
Wireless Personal Communications	Wireless Pers Commun	0929-6212	1572-834X	APA	Numbered
Biomedical Microdevices	Biomed Microdevices	1387-2176	1572-8781	APS	NameYear
Earth, Moon, and Planets	Earth Moon Planets	0167-9295	1573-0794	APS	NameYear
Space Science Reviews	Space Sci Rev	0038-6308	1572-9672	APS	NameYear
Applied Magnetic Resonance	Appl Magn Reson	0937-9347	1613-7507	APS	Numbered
Applied Physics A	Appl. Phys. A	0947-8396	1432-0630	APS	Numbered
Applied Physics B	Appl. Phys. B	0946-2171	1432-0649	APS	Numbered
Brazilian Journal of Physics	Braz J Phys	0103-9733	1678-4448	APS	Numbered
Cellular Oncology	Cell Oncol.	2211-3428	2211-3436	APS	Numbered
Circuits, Systems, and Signal Processing	Circuits Syst Signal Process	0278-081X	1531-5878	APS	Numbered
Food Biophysics	Food Biophysics	1557-1858	1557-1866	APS	Numbered
Genetic Programming and Evolvable Machines	Genet Program Evolvable Mach	1389-2576	1573-7632	APS	Numbered
International Journal of Thermophysics	Int J Thermophys	0195-928X	1572-9567	APS	Numbered
JOM	JOM	1047-4838	1543-1851	APS	Numbered
Journal of Electroceramics	J Electroceram	1385-3449	1573-8663	APS	Numbered
Journal of Electronic Materials	Journal of Elec Materi	0361-5235	1543-186X	APS	Numbered
Journal of Failure Analysis and Prevention	J Fail. Anal. and Preven.	1547-7029	1864-1245	APS	Numbered
Journal of Food Measurement and Characterization	Food Measure	2193-4126	2193-4134	APS	Numbered
Journal of Fusion Energy	J Fusion Energ	0164-0313	1572-9591	APS	Numbered
Journal of Inorganic and Organometallic Polymers and Materials	J Inorg Organomet Polym	1574-1443	1574-1451	APS	Numbered
Journal of Low Temperature Physics	J Low Temp Phys	0022-2291	1573-7357	APS	Numbered
Journal of Materials Engineering and Performance	J. of Materi Eng and Perform	1059-9495	1544-1024	APS	Numbered
Journal of Materials Science: Materials in Electronics	J Mater Sci: Mater Electron	0957-4522	1573-482X	APS	Numbered
Journal of Mathematical Chemistry	J Math Chem	0259-9791	1572-8897	APS	Numbered
Journal of Optics	J Opt	0972-8821	0974-6900	APS	Numbered
Journal of Phase Equilibria and Diffusion	J. Phase Equilib. Diffus.	1547-7037	1863-7345	APS	Numbered
Journal of Porous Materials	J Porous Mater	1380-2224	1573-4854	APS	Numbered
Journal of The Institution of Engineers (India): Series A	J. Inst. Eng. India Ser. A	2250-2149	2250-2157	APS	Numbered
Journal of The Institution of Engineers (India): Series B	J. Inst. Eng. India Ser. B	2250-2106	2250-2114	APS	Numbered
Journal of The Institution of Engineers (India): Series C	J. Inst. Eng. India Ser. C	2250-0545	2250-0553	APS	Numbered
Journal of The Institution of Engineers (India): Series D	J. Inst. Eng. India Ser. D	2250-2122	2250-2130	APS	Numbered
Journal of The Institution of Engineers (India): Series E	J. Inst. Eng. India Ser. E	2250-2483	2250-2491	APS	Numbered
Journal of the Iranian Chemical Society	J IRAN CHEM SOC	1735-207X	1735-2428	APS	Numbered
Journal of Thermal Spray Technology	J Therm Spray Tech	1059-9630	1544-1016	APS	Numbered
Metallography, Microstructure, and Analysis	Metallogr. Microstruct. Anal.	2192-9262	2192-9270	APS	Numbered
Metallurgical and Materials Transactions A	Metall and Mat Trans A	1073-5623	1543-1940	APS	Numbered
Metallurgical and Materials Transactions B	Metall and Materi Trans B	1073-5615	1543-1916	APS	Numbered
Pramana	Pramana - J Phys	0304-4289	0973-7111	APS	Numbered
Research on Chemical Intermediates	Res Chem Intermed	0922-6168	1568-5675	APS	Numbered
The European Physical Journal C	Eur. Phys. J. C	1434-6044	1434-6052	APS	Numbered
Virus Genes	Virus Genes	0920-8569	1572-994X	APS	Numbered
3 Biotech	3 Biotech 	2190-572X	2190-5738	Basic	NameYear
4OR	4OR-Q J Oper Res	1619-4500	1614-2411	Basic	NameYear
Acta Biotheoretica	Acta Biotheor	0001-5342	1572-8358	Basic	NameYear
acta ethologica	acta ethol	0873-9749	1437-9546	Basic	NameYear
Acta Geodaetica et Geophysica	Acta Geod Geophys	2213-5812	2213-5820	Basic	NameYear
