Title	ISSN	eISSN	Years	URL
Journal of the Chemical Society	x	x	1862-1877	http://pubs.rsc.org/en/journals/journalissues/js
Journal of the Royal Institute of Chemistry	x	x	1950-1964	http://pubs.rsc.org/en/journals/journalissues/ji
Jubilee of the Chemical Society	x	x	1891-1891	http://pubs.rsc.org/en/journals/journalissues/m1
Lab on a Chip	1473-0197	1473-0189	2001-2012	http://xlink.rsc.org/?genre=journal&issn=1473-0189
Laboratory Hazards Bulletin	0261-2917	1476-3915	1997-2012	http://www.rsc.org/lhb
MedChemComm	2040-2503	2040-2511	2010-2012	http://xlink.rsc.org/?genre=journal&issn=2040-2511
Memoirs and Proceedings of the Chemical Society	x	x	1843-1848	http://pubs.rsc.org/en/journals/journalissues/mp
Mendeleev Communications	x	x	1997-2004	http://pubs.rsc.org/en/journals/journalissues/mc
Metallomics	1759-5901	1756-591X	2009-2012	http://xlink.rsc.org/?genre=journal&issn=1756-591X
Methods in Organic Synthesis	0265-4245	1478-1565	2000-2012	http://www.rsc.org/mos
Molecular BioSystems	1742-206X	1742-2051	2005-2012	http://xlink.rsc.org/?genre=journal&issn=1742-2051
Nanoscale	2040-3364	2040-3372	2009-2012	http://xlink.rsc.org/?genre=journal&issn=2040-3372
Natural Product Reports	0265-0568	1460-4752	1998-2012	http://xlink.rsc.org/?genre=journal&issn=1460-4752
Natural Product Updates	0950-1711	1478-1557	2000-2012	http://www.rsc.org/npu
New Journal of Chemistry	1144-0546	1369-9261	1998-2012	http://xlink.rsc.org/?genre=journal&issn=1369-9261
Organic & Biomolecular Chemistry	1477-0520	1477-0539	2003-2012	http://xlink.rsc.org/?genre=journal&issn=1477-0539
Pesticide Outlook	x	x	1989-2003	http://pubs.rsc.org/en/journals/journalissues/po
Photochemical & Photobiological Sciences	1474-905X	1474-9092	2002-2012	http://xlink.rsc.org/?genre=journal&issn=1474-9092
PhysChemComm	x	x	1998-2003	http://pubs.rsc.org/en/journals/journalissues/qu
Physical Chemistry Chemical Physics	1463-9076	1463-9084	1998-2012	http://xlink.rsc.org/?genre=journal&issn=1463-9084
Polymer Chemistry	1759-9954	1759-9962	2010-2012	http://xlink.rsc.org/?genre=journal&issn=1759-9954
Proceedings of the Analytical Division of the Chemical Society	x	x	1975-1979	http://pubs.rsc.org/en/journals/journalissues/ad
Proceedings of the Chemical Society	x	x	1957-1964	http://pubs.rsc.org/en/journals/journalissues/ps
Proceedings of the Chemical Society, London	x	x	1885-1914	http://pubs.rsc.org/en/journals/journalissues/pl
Proceedings of the Institute of Chemistry of Great Britain and Ireland	x	x	1877-1919	http://pubs.rsc.org/en/journals/journalissues/pg
Proceedings of the Society for Analytical Chemistry	x	x	1964-1974	http://pubs.rsc.org/en/journals/journalissues/sa
Quarterly Journal of the Chemical Society of London	x	x	1849-1862	http://pubs.rsc.org/en/journals/journalissues/qj
Quarterly Reviews, Chemical Society	x	x	1947-1971	http://pubs.rsc.org/en/journals/journalissues/qr
Royal Institute of Chemistry, Reviews	x	x	1968-1971	http://pubs.rsc.org/en/journals/journalissues/rr
RSC Advances	-	2046-2069	2011-2012	http://xlink.rsc.org/?genre=journal&issn=2046-2069
Russian Chemical Reviews	x	x	1998-2004	http://pubs.rsc.org/en/journals/journalissues/rc
Selected Annual Reviews of the Analytical Sciences	x	x	1971-1974	http://pubs.rsc.org/en/journals/journalissues/as
Soft Matter	1744-863X	1477-6848	2005-2012	http://xlink.rsc.org/?genre=journal&issn=1744-6848
Special Discussions of the Faraday Society	x	x	1970-1970	http://pubs.rsc.org/en/journals/journalissues/sd
Symposia of the Faraday Society	x	x	1967-1971	http://pubs.rsc.org/en/journals/journalissues/sf
Toxicology Research	x	x	2012	http://pubs.rsc.org/en/journals/journalissues/tx
Transactions of the Faraday Society	x	x	1905-1971	http://pubs.rsc.org/en/journals/journalissues/tf
