Title	ISSN	EISSN	Field	Parent	Format	Documentation
Child Neuropsychology	0929-7049	1744-4136	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=NCNY20&page=instructions
China Journal of Accounting Studies	2169-7213	2169-7221	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCJA20&page=instructions
Chinese Journal of Communication	1754-4750	1754-4769	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCJC20&page=instructions
Climate Policy	1469-3062	1752-7457	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TCPO20&page=instructions
Coaching: An International Journal of Theory, Research and Practice	1752-1882	1752-1890	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCOA20&page=instructions
Cogent Arts and Humanities		2331-1983		apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=OAAH20&page=instructions
Cogent Biology		2331-2025		apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=OABI20&page=instructions
Cogent Business & Management		2331-1975		apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=OABM20&page=instructions
Cogent Chemistry		2331-2009		apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=OACH20&page=instructions
Cogent Economics & Finance		2332-2039	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=OAEF20&page=instructions
Cogent Education		2331-186X	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=OAED20&page=instructions
Cogent Engineering		2331-1916	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=OAEN20&page=instructions
Cogent Environmental Science		2331-1843		apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=OAES20&page=instructions
Cogent Food & Agriculture		2331-1932		apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=OAFA20&page=instructions
Cogent Mathematics		2331-1835		apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=OAMA20&page=instructions
Cogent Medicine		2331-205X		apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=OAMD20&page=instructions
Cogent Physics		2331-1940		apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=OAPH20&page=instructions
Cogent Psychology		2331-1908		apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=OAPS20&page=instructions
Cognition and Emotion	0269-9931	1464-0600	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=PCEM20&page=instructions
Cognitive Neuropsychiatry	1354-6805	1464-0619	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=PCNP20&page=instructions
Cognitive Neuropsychology	0264-3294	1464-0627	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=PCGN20&page=instructions
Cognitive Neuroscience	1758-8928	1758-8936	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=PCNS20&page=instructions
Commonwealth & Comparative Politics	1466-2043	1743-9094	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=FCCP20&page=instructions
Communication Education	0363-4523	1479-5795	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCED20&page=instructions
Communication Monographs	0363-7751	1479-5787	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCMM20&page=instructions
Communication Teacher	1740-4622	1740-4630	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCMT20&page=instructions
Community, Work & Family	1366-8803	1469-3615	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCWF20&page=instructions
Computer Assisted Language Learning	0958-8221	1744-3210	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=NCAL20&page=instructions
Computer Science Education	0899-3408	1744-5175	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=NCSE20&page=instructions
Connection Science	0954-0091	1360-0494	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCOS20&page=instructions
Contemporary Justice Review	1028-2580	1477-2248	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=GCJR20&page=instructions
Contemporary Music Review	0749-4467	1477-2256	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=GCMR20&page=instructions
Contemporary Social Science	2158-2041	2158-205X	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RSOC20&page=instructions
Counselling Psychology Quarterly	0951-5070	1469-3674	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCPQ20&page=instructions
Criminal Justice Studies	1478-601X	1478-6028	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=GJUP20&page=instructions
Critical Discourse Studies	1740-5904	1740-5912	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCDS20&page=instructions
Critical Interventions	1930-1944	2326-411X	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCIN20&page=instructions
Critical Public Health	0958-1596	1469-3682	medicine	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCPH20&page=instructions
Critical Studies in Education	1750-8487	1750-8495	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCSE20&page=instructions
Critical Studies in Media Communication	1529-5036	1479-5809	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCSM20&page=instructions
Cultura y Educación	1135-6405	1578-4118	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCYE20&page=instructions
Cultural Trends	0954-8963	1469-3690	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCUT20&page=instructions
Current Issues in Language Planning	1466-4208	1747-7506	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCLP20&page=instructions
Current Issues in Tourism	1368-3500	1747-7603	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCIT20&page=instructions
Curriculum Inquiry	0362-6784	1467-873X	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCUI20&page=instructions
Curriculum Journal	0958-5176	1469-3704	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCJO20&page=instructions
Discourse: Studies in the Cultural Politics of Education	0159-6306	1469-3739	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CDIS20&page=instructions
Early Child Development and Care	0300-4430	1476-8275	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=GECD20&page=instructions
Economic Research-Ekonomska Istrazivanja	1331-677X	1848-9664	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RERO20&page=instructions
Educational Media International	0952-3987	1469-5790	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=REMI20&page=instructions
Educational Philosophy and Theory	0013-1857	1469-5812	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=REPT20&page=instructions
Educational Psychology	0144-3410	1469-5820	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CEDP20&page=instructions
Educational Psychology in Practice	0266-7363	1469-5839	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CEPP20&page=instructions
Educational Research and Evaluation	1380-3611	1744-4187	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=NERE20&page=instructions
Environmental Communication	1752-4032	1752-4040	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RENC20&page=instructions
Environmental Hazards	1747-7891	1878-0059	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TENH20&page=instructions
Estudios de Psicología	0210-9395	1579-3699	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=REDP20&page=instructions
Ethics, Policy & Environment	2155-0085	2155-0093	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CEPE20&page=instructions
Ethnopolitics	1744-9057	1744-9065	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RENO20&page=instructions
European Accounting Review	0963-8180	1468-4497	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=REAR20&page=instructions
European Journal of Computational Mechanics	1779-7179	1958-5829	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TECM20&page=instructions
European Journal of Cultural and Political Sociology	2325-4823	2325-4815	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RECP20&page=instructions
European Journal of Developmental Psychology	1740-5629	1740-5610	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=PEDP20&page=instructions
European Journal of Environmental and Civil Engineering	1964-8189	2116-7214	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TECE20&page=instructions
European Journal of Psychotherapy & Counselling	1364-2537	1469-5901	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=REJP20&page=instructions
European Journal of Social Work	1369-1457	1468-2664	medicine	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CESW20&page=instructions
European Journal of Sport Science	1746-1391	1536-7290	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TEJS20&page=instructions
European Journal of Work and Organizational Psychology	1359-432X	1464-0643	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=PEWO20&page=instructions
European Review of Social Psychology	1046-3283	1479-277X	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=PERS20&page=instructions
European Sport Management Quarterly	1618-4742	1746-031X	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RESM20&page=instructions
Evidence-Based Communication Assessment and Intervention	1748-9539	1748-9547	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TEBC20&page=instructions
Family Science	1942-4620	1942-4639	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RFSC20&page=instructions
Food and Agricultural Immunology	0954-0105	1465-3443	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CFAI20&page=instructions
Footwear Science	1942-4280	1942-4299	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TFWS20&page=instructions
Forum for Social Economics	0736-0932	1874-6381	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RFSE20&page=instructions
Geodinamica Acta	0985-3111	1778-3593	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TGDA20&page=instructions
Geografisk Tidsskrift-Danish Journal of Geography	0016-7223	1903-2471	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RDGS20&page=instructions
Geomechanics and Geoengineering	1748-6025	1748-6033	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TGEO20&page=instructions
Geosystem Engineering	1226-9328	2166-3394	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TGES20&page=instructions
Global Affairs	2334-0460	2334-0479	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RGAF20&page=instructions
Global Bioethics	1128-7462	1591-7398	science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RGBE20&page=instructions
Global Public Health	1744-1692	1744-1706	medicine	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RGPH20&page=instructions
Health Psychology and Behavioral Medicine: an Open Access Journal		2164-2850	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RHPB20&page=instructions
Health Psychology Review	1743-7199	1743-7202	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RHPR20&page=instructions
Health, Risk & Society	1369-8575	1469-8331	medicine	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CHRS20&page=instructions
High Ability Studies	1359-8139	1469-834X	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CHAS20&page=instructions
Housing Policy Debate	1051-1482	2152-050X	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RHPD20&page=instructions
Infancia y Aprendizaje	0210-3702	1578-4126	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RIYA20&page=instructions
Infant Observation	1369-8036	1745-8943	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RIOB20&page=instructions
Information Technology for Development	0268-1102	1554-0170	science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TITD20&page=instructions
Information, Communication & Society	1369-118X	1468-4462	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RICS20&page=instructions
Innovations in Education and Teaching International	1470-3297	1470-3300	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RIIE20&page=instructions
Interactive Learning Environments	1049-4820	1744-5191	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=NILE20&page=instructions
International Economic Journal	1016-8737	1743-517X	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RIEJ20&page=instructions
International Gambling Studies	1445-9795	1479-4276	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RIGS20&page=instructions
International Journal for Academic Development	1360-144X	1470-1324	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RIJA20&page=instructions
International Journal of Adolescence and Youth	0267-3843	2164-4527	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RADY20&page=instructions
International Journal of Art Therapy	1745-4832	1745-4840	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RART20&page=instructions
International Journal of Comparative and Applied Criminal Justice	0192-4036	2157-6475	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCAC20&page=instructions
International Journal of Control	0020-7179	1366-5820	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TCON20&page=instructions
International Journal of Culture and Mental Health	1754-2863	1754-2871	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCCM20&page=instructions
International Journal of Design Creativity and Innovation	2165-0349	2165-0357	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TDCI20&page=instructions
International Journal of Disability, Development and Education	1034-912X	1465-346X	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CIJD20&page=instructions
International Journal of Electronics	0020-7217	1362-3060	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TETN20&page=instructions
International Journal of Electronics Letters	2168-1724	2168-1732	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TETL20&page=instructions
International Journal of Fashion Design, Technology and Education	1754-3266	1754-3274	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TFDT20&page=instructions
International Journal of Housing Policy	1461-6718	1473-3269	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=REUJ20&page=instructions
International Journal of Injury Control and Safety Promotion	1745-7300	1745-7319	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=NICS20&page=instructions
International Journal of Jungian Studies	1940-9052	1940-9060	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RIJJ20&page=instructions
International Journal of Leadership in Education	1360-3124	1464-5092	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TEDL20&page=instructions
International Journal of Lifelong Education	0260-1370	1464-519X	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TLED20&page=instructions
International Journal of Management Science and Engineering Management	1750-9653	1750-9661	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TMSE20&page=instructions
International Journal of Mental Health Promotion	1462-3730	2049-8543	medicine	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RIJM20&page=instructions
International Journal of Multilingualism	1479-0718	1747-7530	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RMJM20&page=instructions
International Journal of Odonatology	1388-7890	2159-6719	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TIJO20&page=instructions
International Journal of Play	2159-4937	2159-4953	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RIJP20&page=instructions
International Journal of Qualitative Studies in Education	0951-8398	1366-5898	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TQSE20&page=instructions
International Journal of Science Education	0950-0693	1464-5289	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TSED20&page=instructions
International Journal of Science Education, Part B	2154-8455	2154-8463	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RSED20&page=instructions
International Journal of Social Research Methodology	1364-5579	1464-5300	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TSRM20&page=instructions
International Journal of Sport and Exercise Psychology	1612-197X	1557-251X	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RIJS20&page=instructions
International Journal of Systems Science	0020-7721	1464-5319	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TSYS20&page=instructions
International Journal of Systems Science: Operations & Logistics	2330-2674	2330-2682	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TSYB20&page=instructions
International Journal of Urban Sciences	1226-5934	2161-6779	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJUS20&page=instructions
International Journal of Water Resources Development	0790-0627	1360-0648	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CIJW20&page=instructions
International Research in Geographical and Environmental Education	1038-2046	1747-7611	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RGEE20&page=instructions
International Review of Public Administration	1229-4659	2331-7795	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RRPA20&page=instructions
International Review of Sport and Exercise Psychology	1750-984X	1750-9858	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RIRS20&page=instructions
International Studies in Sociology of Education	0962-0214	1747-5066	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RISS20&page=instructions
Journal for Cultural Research	1479-7585	1740-1666	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCUV20&page=instructions
Journal of Adventure Education & Outdoor Learning	1472-9679	1754-0402	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RAOL20&page=instructions
Journal of Applied Communication Research	0090-9882	1479-5752	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJAC20&page=instructions
Journal of Applied Non-Classical Logics	1166-3081	1958-5780	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TNCL20&page=instructions
Journal of Biomolecular Structure and Dynamics	0739-1102	1538-0254	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TBSD20&page=instructions
Journal of Change Management	1469-7017	1479-1811	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJCM20&page=instructions
Journal of Children and Media	1748-2798	1748-2801	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCHM20&page=instructions
Journal of Clinical and Experimental Neuropsychology	1380-3395	1744-411X	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=NCEN20&page=instructions
Journal of Cognitive Psychology	2044-5911	2044-592X	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=PECP20&page=instructions
Journal of Comparative Asian Development	1533-9114	2150-5403	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCAD20&page=instructions
Journal of Control and Decision	2330-7706	2330-7714	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TJCD20&page=instructions
Journal of Criminal Justice Education	1051-1253	1745-9117	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCJE20&page=instructions
Journal of Curriculum Studies	0022-0272	1366-5839	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TCUS20&page=instructions
Journal of Decision Systems	1246-0125	2116-7052	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TJDS20&page=instructions
Journal of Economic Methodology	1350-178X	1469-9427	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJEC20&page=instructions
Journal of Ecotourism	1472-4049	1747-7638	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RECO20&page=instructions
Journal of Environmental Policy & Planning	1523-908X	1522-7200	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJOE20&page=instructions
Journal of Experimental & Theoretical Artificial Intelligence	0952-813X	1362-3079	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TETA20&page=instructions
Journal of Gender Studies	0958-9236	1465-3869	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJGS20&page=instructions
Journal of Geography in Higher Education	0309-8265	1466-1845	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJGH20&page=instructions
Journal of Global Fashion Marketing	2093-2685	2325-4483	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RGFM20&page=instructions
Journal of Global Scholars of Marketing Science	2163-9159	2163-9167	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RGAM20&page=instructions
