Title	ISSN	Parent	Format
Current Problems in Surgery	0011-3840	american-medical-association	numeric
Mechanical Systems and Signal Processing	0888-3270	elsevier-with-titles	numeric
The Journal of Thoracic and Cardiovascular Surgery	0022-5223	american-medical-association	numeric
Journal of Voice	0892-1997	american-medical-association	numeric
Microvascular Research	0026-2862	elsevier-harvard	author-date
Neurobiology of Disease	0969-9961	elsevier-harvard	author-date
Newborn and Infant Nursing Reviews	1527-3369	american-medical-association	numeric
Nurse Education Today	0260-6917	elsevier-harvard	author-date
Nurse Education in Practice	1471-5953	elsevier-harvard	author-date
NeuroImage: Clinical	2213-1582	elsevier-harvard	author-date
NeuroImage	1053-8119	elsevier-harvard	author-date
Nitric Oxide	1089-8603	elsevier-with-titles	numeric
Neurobiology of Learning and Memory	1074-7427	apa	author-date
Neuropeptides	0143-4179	elsevier-harvard	author-date
Organizational Behavior and Human Decision Processes	0749-5978	apa	author-date
Optical Fiber Technology	1068-5200	elsevier-with-titles	numeric
Progress in Cardiovascular Diseases	0033-0620	american-medical-association	numeric
Pesticide Biochemistry and Physiology	0048-3575	elsevier-with-titles	numeric
Pharmacological Research	1043-6618	elsevier-vancouver	numeric
Placenta	0143-4004	elsevier-vancouver	numeric
Plasmid	0147-619X	elsevier-harvard	author-date
Prostaglandins, Leukotrienes and Essential Fatty Acids (PLEFA)	0952-3278	elsevier-with-titles	numeric
Preventive Medicine	0091-7435	elsevier-harvard	author-date
Physiological and Molecular Plant Pathology	0885-5765	elsevier-vancouver	numeric
Protein Expression and Purification	1046-5928	elsevier-with-titles	numeric
Paediatric Respiratory Reviews	1526-0542	elsevier-vancouver	numeric
Physical Therapy in Sport	1466-853X	apa	author-date
Pulmonary Pharmacology & Therapeutics	1094-5539	elsevier-vancouver	numeric
Quaternary Research	0033-5894	elsevier-harvard	author-date
Review of Economic Dynamics	1094-2025	elsevier-harvard	author-date
Research in Economics	1090-9443	elsevier-harvard	author-date
Respiratory Medicine	0954-6111	elsevier-vancouver	numeric
Regulatory Toxicology and Pharmacology	0273-2300	elsevier-harvard	author-date
Research in Veterinary Science	0034-5288	elsevier-harvard	author-date
Seminars in Arthritis and Rheumatism	0049-0172	elsevier-vancouver	numeric
Seminars in Arthroplasty	1045-4527	elsevier-vancouver	numeric
Seminars in Cancer Biology	1044-579X	elsevier-vancouver	numeric
Seminars in Cell and Developmental Biology	1084-9521	elsevier-vancouver	numeric
Seminars in Colon and Rectal Surgery	1043-1489	american-medical-association	numeric
Seminars in Diagnostic Pathology	0740-2570	american-medical-association	numeric
Seminars in Immunology	1044-5323	elsevier-vancouver	numeric
Sleep Medicine Reviews	1087-0792	elsevier-vancouver	numeric
Seminars in Orthodontics	1073-8746	american-medical-association	numeric
Seminars in Perinatology	0146-0005	american-medical-association	numeric
Superlattices and Microstructures	0749-6036	elsevier-with-titles	numeric
Seminars in Pediatric Surgery	1055-8586	american-medical-association	numeric
Seminars in Spine Surgery	1040-7383	american-medical-association	numeric
Social Science Research	0049-089X	elsevier-harvard	author-date
Seminars in Vascular Surgery	0895-7967	elsevier-vancouver	numeric
Toxicology and Applied Pharmacology	0041-008X	elsevier-harvard	author-date
Techniques in Gastrointestinal Endoscopy	1096-2883	elsevier-vancouver	numeric
Tissue and Cell	0040-8166	elsevier-harvard	author-date
Transfusion Medicine Reviews	0887-7963	elsevier-vancouver	numeric
Theoretical Population Biology	0040-5809	elsevier-harvard	author-date
Techniques in Regional Anesthesia and Pain Management	1084-208X	american-medical-association	numeric
Transplantation Reviews	0955-470X	elsevier-vancouver	numeric
Tuberculosis	1472-9792	elsevier-vancouver	numeric
The Veterinary Journal	1090-0233	elsevier-harvard	author-date
Virology	0042-6822	elsevier-harvard	author-date
Der Zoologische Garten	0044-5169	apa	author-date
Zoology	0944-2006	elsevier-harvard	author-date
