Title	ISSN	Parent	Format
Economic Systems	0939-3625	elsevier-harvard	author-date
Economics of Transportation	2212-0122	elsevier-harvard	author-date
Clinical Simulation in Nursing	1876-1399	apa	author-date
International Journal of Educational Development	0738-0593	elsevier-harvard	author-date
Educational Research Review	1747-938X	apa	author-date
Environmental and Experimental Botany	0098-8472	elsevier-harvard	author-date
European Economic Review	0014-2921	elsevier-harvard	author-date
Engineering Failure Analysis	1350-6307	elsevier-vancouver	numeric
Engineering Fracture Mechanics	0013-7944	elsevier-vancouver	numeric
Egyptian Journal of Anaesthesia	1110-1849	elsevier-vancouver	numeric
Energy	0360-5442	elsevier-vancouver	numeric
Economics and Human Biology	1570-677X	elsevier-harvard	author-date
Early Human Development	0378-3782	elsevier-vancouver	numeric
Human Pathology: Case Reports	2214-3300	elsevier-vancouver	numeric
Environment International	0160-4120	vancouver-author-date	author-date
Egyptian Informatics Journal	1110-8665	elsevier-vancouver	numeric
Environmental Impact Assessment Review	0195-9255	vancouver-author-date	author-date
Environmental Innovation and Societal Transitions	2210-4224	elsevier-harvard	author-date
The Egyptian Journal of Aquatic Research	1687-4285	elsevier-harvard	author-date
Egyptian Journal of Basic and Applied Sciences	2314-808X	elsevier-vancouver	numeric
Electronic Journal of Biotechnology	0717-3458	elsevier-vancouver	numeric
European Journal of Cancer	0959-8049	elsevier-vancouver	numeric
European Journal of Cell Biology	0171-9335	elsevier-harvard	author-date
The Egyptian Journal of Critical Care Medicine	2090-7303	elsevier-vancouver	numeric
Egyptian Journal of Chest Diseases and Tuberculosis	0422-7638	elsevier-with-titles	numeric
EJC Supplements	1359-6349	elsevier-vancouver	numeric
Egyptian Journal of Ear, Nose, Throat and Allied Sciences	2090-0740	american-medical-association	numeric
European Journal of Internal Medicine	0953-6205	elsevier-vancouver	numeric
European Journal of Medicinal Chemistry	0223-5234	elsevier-with-titles	numeric
European Journal of Mechanics / B Fluids	0997-7546	elsevier-with-titles	numeric
Egyptian Journal of Medical Human Genetics	1110-8630	elsevier-vancouver	numeric
Physica Medica	1120-1797	elsevier-vancouver	numeric
European Journal of Mechanics / A Solids	0997-7538	elsevier-harvard	author-date
European Journal of Protistology	0932-4739	elsevier-harvard	author-date
European Journal of Pharmacology	0014-2999	elsevier-harvard	author-date
European Journal of Pharmaceutics and Biopharmaceutics	0939-6411	elsevier-with-titles	numeric
The Egyptian Rheumatologist	1110-1164	elsevier-vancouver	numeric
Journal of Hydrology: Regional Studies	2214-5818	elsevier-harvard	author-date
The Egyptian Journal of Radiology and Nuclear Medicine	0378-603X	elsevier-vancouver	numeric
The Egyptian Journal of Remote Sensing and Space Sciences	1110-9823	elsevier-harvard	author-date
European Journal of Soil Biology	1164-5563	elsevier-with-titles	numeric
Journal of the World Federation of Orthodontists	2212-4438	elsevier-vancouver	numeric
Electrochemistry Communications	1388-2481	elsevier-with-titles	numeric
The Electricity Journal	1040-6190	elsevier-harvard	author-date
Electronic Commerce Research and Applications	1567-4223	elsevier-harvard	author-date
Journal of Electron Spectroscopy and Related Phenomena	0368-2048	elsevier-with-titles	numeric
Journal of Electrostatics	0304-3886	elsevier-with-titles	numeric
Emerging Markets Review	1566-0141	elsevier-harvard	author-date
European Management Journal	0263-2373	apa	author-date
Emotion, Space and Society	1755-4586	elsevier-harvard	author-date
Journal of Empirical Finance	0927-5398	elsevier-harvard	author-date
Enzyme and Microbial Technology	0141-0229	elsevier-vancouver	numeric
Energy & Buildings	0378-7788	elsevier-with-titles	numeric
L'Encéphale	0013-7006	elsevier-vancouver	numeric
Endeavour	0160-9327	american-medical-association	numeric
Energy Economics	0140-9883	elsevier-harvard	author-date
Engineering Geology	0013-7952	elsevier-harvard	author-date
Journal of Engineering and Technology Management	0923-4748	elsevier-harvard	author-date
Environmental Nanotechnology, Monitoring & Management	2215-1532	elsevier-harvard	author-date
Environmental Pollution	0269-7491	elsevier-harvard	author-date
Evolution and Human Behavior	1090-5138	apa	author-date
Environmental Modelling and Software	1364-8152	elsevier-harvard	author-date
Entertainment Computing	1875-9521	elsevier-with-titles	numeric
Electronic Notes in Theoretical Computer Science	1571-0661	elsevier-with-titles	numeric
Environmental Development	2211-4645	elsevier-harvard	author-date
Environmental Science and Policy	1462-9011	elsevier-harvard	author-date
Environmental Toxicology and Pharmacology	1382-6689	elsevier-harvard	author-date
European Journal of Operational Research	0377-2217	apa	author-date
Epidemics	1755-4365	elsevier-harvard	author-date
Epileptology	2212-8220	vancouver-author-date	author-date
Epilepsy Research	0920-1211	elsevier-harvard	author-date
European Polymer Journal	0014-3057	elsevier-vancouver	numeric
Evaluation and Program Planning	0149-7189	apa	author-date
Journal of Pediatric Surgery Case Reports	2213-5766	elsevier-vancouver	numeric
Earth and Planetary Science Letters	0012-821X	elsevier-harvard	author-date
Electric Power Systems Research	0378-7796	elsevier-with-titles	numeric
Revue européenne de psychologie appliquée	1162-9088	apa	author-date
International Journal of Industrial Ergonomics	0169-8141	elsevier-harvard	author-date
Energy Research & Social Science	2214-6296	elsevier-vancouver	numeric
Energy for Sustainable Development	0973-0826	vancouver-author-date	author-date
English for Specific Purposes	0889-4906	apa	author-date
Ensayos sobre Política Económica	0120-4483	apa	author-date
Energy Strategy Reviews	2211-467X	elsevier-with-titles	numeric
Estudios Gerenciales	0123-5923	apa	author-date
Expert Systems With Applications	0957-4174	apa	author-date
Experimental Thermal and Fluid Science	0894-1777	elsevier-with-titles	numeric
Ethique et Santé	1765-4629	elsevier-vancouver	numeric
Experimental and Toxicologic Pathology	0940-2993	vancouver-author-date	author-date
Urology Case Reports	2214-4420	american-medical-association	numeric
European Journal of Integrative Medicine	1876-3820	elsevier-vancouver	numeric
EuPA Open Proteomics	2212-9685	elsevier-vancouver	numeric
European Journal of Agronomy	1161-0301	elsevier-harvard	author-date
Journal of Eurasian Studies	1879-3665	apa	author-date
European Geriatric Medicine	1878-7649	elsevier-vancouver	numeric
European Journal of Obstetrics and Gynecology	0301-2115	elsevier-vancouver	numeric
European Psychiatry	0924-9338	elsevier-vancouver	numeric
European Journal of Radiology	0720-048X	elsevier-vancouver	numeric
European Urology Supplements	1569-9056	elsevier-vancouver	numeric
European Research in Telemedicine/La Recherche Européenne en Télémédecine	2212-764X	elsevier-vancouver	numeric
European Urology	0302-2838	elsevier-vancouver	numeric
L'Évolution psychiatrique	0014-3855	elsevier-vancouver	numeric
Experimental Gerontology	0531-5565	elsevier-harvard	author-date
The Extractive Industries and Society	2214-790X	elsevier-harvard	author-date
Foot and Ankle Surgery	1268-7731	elsevier-vancouver	numeric
Food Bioscience	2212-4292	apa	author-date
Food and Bioproducts Processing	0960-3085	elsevier-harvard	author-date
Fungal Biology Reviews	1749-4613	elsevier-harvard	author-date
Food and Chemical Toxicology	0278-6915	elsevier-harvard	author-date
Imagerie de la Femme	1776-9817	elsevier-vancouver	numeric
Journal of the Franklin Institute	0016-0032	elsevier-with-titles	numeric
Field Crops Research	0378-4290	elsevier-harvard	author-date
International Review of Financial Analysis	1057-5219	apa	author-date
Procedia Economics and Finance	2212-5671	elsevier-harvard	author-date
Journal of Financial Economics	0304-405X	elsevier-harvard	author-date
Finite Elements in Analysis & Design	0168-874X	elsevier-with-titles	numeric
Journal of Financial Markets	1386-4181	elsevier-harvard	author-date
Fisheries Research	0165-7836	elsevier-harvard	author-date
Fire Safety Journal	0379-7112	elsevier-with-titles	numeric
Fitoterapia	0367-326X	elsevier-vancouver	numeric
Formosan Journal of Surgery	1682-606X	american-medical-association	numeric
Flora	0367-2530	elsevier-harvard	author-date
Fluid Phase Equilibria	0378-3812	elsevier-with-titles	numeric
Frontiers of Architectural Research	2095-2635	elsevier-harvard	author-date
Food Chemistry	0308-8146	apa	author-date
International Journal of Food Microbiology	0168-1605	elsevier-harvard	author-date
Food Hydrocolloids	0268-005X	apa	author-date
Food Structure	2213-3291	apa	author-date
Forest Ecology and Management	0378-1127	elsevier-harvard	author-date
Forest Policy and Economics	1389-9341	elsevier-harvard	author-date
Food Packaging and Shelf Life	2214-2894	apa	author-date
Progrès en Urologie - FMC	1761-676X	elsevier-vancouver	numeric
Food Quality and Preference	0950-3293	apa	author-date
Free Radicals and Antioxidants	2231-2536	american-medical-association	numeric
Feuillets de Radiologie	0181-9801	elsevier-vancouver	numeric
Food Research International	0963-9969	apa	author-date
Finance Research Letters	1544-6123	elsevier-harvard	author-date
Food Science and Human Wellness	2213-4530	elsevier-with-titles	numeric
Forensic Science International	0379-0738	elsevier-with-titles	numeric
Forensic Science International: Genetics	1872-4973	elsevier-with-titles	numeric
Forensic Science International: Genetics Supplement Series	1875-1768	elsevier-with-titles	numeric
Forensic Science International Supplement Series	1875-1741	elsevier-with-titles	numeric
Fuzzy Sets and Systems	0165-0114	elsevier-with-titles	numeric
Fungal Ecology	1754-5048	elsevier-harvard	author-date
Fuel Processing Technology	0378-3820	elsevier-with-titles	numeric
Fusion Engineering and Design	0920-3796	elsevier-with-titles	numeric
Future Generation Computer Systems	0167-739X	elsevier-with-titles	numeric
Gait & Posture	0966-6362	elsevier-vancouver	numeric
Genomics Data	2213-5960	elsevier-with-titles	numeric
Global Ecology and Conservation	2351-9894	vancouver-author-date	author-date
Geotextiles and Geomembranes	0266-1144	elsevier-harvard	author-date
Gene	0378-1119	elsevier-harvard	author-date
Gender Medicine	1550-8579	american-medical-association	numeric
Geobios	0016-6995	elsevier-harvard	author-date
Journal of Geodynamics	0264-3707	elsevier-harvard	author-date
Geoderma	0016-7061	elsevier-harvard	author-date
Geoderma Regional	2352-0094	vancouver-author-date	author-date
Geoforum	0016-7185	elsevier-harvard	author-date
Geomorphology	0169-555X	elsevier-harvard	author-date
Journal of Geometry and Physics	0393-0440	elsevier-with-titles	numeric
Geothermics	0375-6505	elsevier-harvard	author-date
Journal of Geochemical Exploration	0375-6742	elsevier-harvard	author-date
Global Food Security	2211-9124	elsevier-harvard	author-date
Global Heart	2211-8160	elsevier-vancouver	numeric
General Hospital Psychiatry	0163-8343	elsevier-vancouver	numeric
Global and Planetary Change	0921-8181	elsevier-harvard	author-date
Global Finance Journal	1044-0283	apa	author-date
Geriatric Mental Health Care	2212-9693	vancouver-author-date	author-date
Gynecology and Minimally Invasive Therapy	2213-3070	american-medical-association	numeric
Government Information Quarterly	0740-624X	apa	author-date
Genomics, Proteomics & Bioinformatics	1672-0229	elsevier-vancouver	numeric
Gondwana Research	1342-937X	elsevier-harvard	author-date
GeoResJ	2214-2428	elsevier-vancouver	numeric
Geoscience Frontiers	1674-9871	elsevier-harvard	author-date
Gynecologic Oncology Case Reports	2211-338X	elsevier-harvard	author-date
Gynécologie Obstétrique et Fertilité	1297-9589	elsevier-vancouver	numeric
Habitat International	0197-3975	apa	author-date
Journal of Hand Therapy	0894-1130	american-medical-association	numeric
Harmful Algae	1568-9883	elsevier-harvard	author-date
Journal of Hazardous Materials	0304-3894	elsevier-with-titles	numeric
HBRC Journal	1687-4048	elsevier-with-titles	numeric
Healthcare Management Forum	0840-4704	american-medical-association	numeric
International Journal of Hydrogen Energy	0360-3199	elsevier-vancouver	numeric
Health policy	0168-8510	elsevier-vancouver	numeric
Hearing Research	0378-5955	elsevier-harvard	author-date
High Energy Density Physics	1574-1818	elsevier-with-titles	numeric
Journal of Herbal Medicine	2210-8033	vancouver-author-date	author-date
International Journal of Heat and Fluid Flow	0142-727X	elsevier-harvard	author-date
Journal of High Technology Management Research	1047-8310	apa	author-date
Human Immunology	0198-8859	elsevier-vancouver	numeric
HIV & AIDS Review	1730-1270	elsevier-with-titles	numeric
Healthcare	2213-0764	american-medical-association	numeric
Hong Kong Journal of Occupational Therapy	1569-1861	apa	author-date
Hong Kong Physiotherapy Journal	1013-7025	elsevier-vancouver	numeric
Heart, Lung and Circulation	1443-9506	elsevier-vancouver	numeric
Health Policy and Technology	2211-8837	elsevier-vancouver	numeric
International Journal of Hospitality Management	0278-4319	elsevier-harvard	author-date
International Journal of Heat and Mass Transfer	0017-9310	elsevier-with-titles	numeric
Scientia Horticulturae	0304-4238	elsevier-harvard	author-date
Human Movement Science	0167-9457	apa	author-date
Human Resource Management Review	1053-4822	apa	author-date
Journal of Hydrology	0022-1694	elsevier-harvard	author-date
Hydrometallurgy	0304-386X	elsevier-harvard	author-date
IATSS Research	0386-1112	elsevier-with-titles	numeric
Insect Biochemistry and Molecular Biology	0965-1748	elsevier-harvard	author-date
International Business Review	0969-5931	apa	author-date
International Communications in Heat and Mass Transfer	0735-1933	elsevier-with-titles	numeric
IDCases	2214-2509	elsevier-vancouver	numeric
International Journal of Impact Engineering	0734-743X	elsevier-vancouver	numeric
Investigaciones Europeas de Dirección y Economía de la Empresa	1135-2523	apa	author-date
International Emergency Nursing	1755-599X	elsevier-harvard	author-date
Information Economics and Policy	0167-6245	elsevier-harvard	author-date
IERI Procedia	2212-6678	elsevier-with-titles	numeric
Investigaciones de Historia Económica - Economic History Research	1698-6989	elsevier-harvard	author-date
Indian Heart Journal	0019-4832	american-medical-association	numeric
IIMB Management Review	0970-3896	apa	author-date
International Journal of Approximate Reasoning	0888-613X	elsevier-with-titles	numeric
International Journal of Africa Nursing Sciences	2214-1391	apa	author-date
International Journal of Adipose Tissue and Stem Cells	2211-9116	elsevier-vancouver	numeric
International Journal of Medical Informatics	1386-5056	elsevier-with-titles	numeric
International Journal of Cardiology	0167-5273	elsevier-vancouver	numeric
International Journal of Chemical and Analytical Science	0976-1209	american-medical-association	numeric
International Journal of Child-Computer Interaction	2212-8689	elsevier-with-titles	numeric
International Journal of Clinical and Health Psychology	1697-2600	apa	author-date
IJC Heart & Vessels	2214-7632	elsevier-vancouver	numeric
International Journal of Critical Infrastructure Protection	1874-5482	elsevier-with-titles	numeric
IJC Metabolic & Endocrine	2214-7624	elsevier-vancouver	numeric
Indian Journal of Dentistry	0975-962X	american-medical-association	numeric
International Journal of Diabetes Mellitus	1877-5934	elsevier-vancouver	numeric
International Journal of Disaster Risk Reduction	2212-4209	elsevier-vancouver	numeric
International Journal of Dental Science and Research	2213-9974	american-medical-association	numeric
International Journal of Epilepsy	2213-6320	american-medical-association	numeric
International Journal of Engineering Science	0020-7225	apa	author-date
International Journal of Gynecology and Obstetrics	0020-7292	elsevier-vancouver	numeric
International Journal of Gerontology	1873-9598	american-medical-association	numeric
International Journal of Gastronomy and Food Science	1878-450X	elsevier-harvard	author-date
International Journal of Greenhouse Gas Control	1750-5836	elsevier-harvard	author-date
International Journal of Hygiene and Environmental Health	1438-4639	elsevier-harvard	author-date
International Journal of Intercultural Relations	0147-1767	apa	author-date
International Journal of Law, Crime and Justice	1756-0616	elsevier-harvard	author-date
Optik - International Journal for Light and Electron Optics	0030-4026	elsevier-with-titles	numeric
International Journal of Law and Psychiatry	0160-2527	apa	author-date
The International Journal of Management Education	1472-8117	apa	author-date
International Journal of Multiphase Flow	0301-9322	elsevier-harvard	author-date
International Journal of Medical Microbiology	1438-4221	elsevier-harvard	author-date
International Journal of Mining Science and Technology	2095-2686	elsevier-vancouver	numeric
International Journal of Mycobacteriology	2212-5531	elsevier-with-titles	numeric
International Journal of Nursing Sciences	2352-0132	elsevier-vancouver	numeric
The Indian Journal of Neurotrauma	0973-0508	american-medical-association	numeric
International Journal of Marine Energy	2214-1669	elsevier-with-titles	numeric
International Journal of Orthopaedic and Trauma Nursing	1878-1241	elsevier-harvard	author-date
International Journal of Pharmaceutics	0378-5173	elsevier-harvard	author-date
International Journal for Parasitology: Drugs and Drug Resistance	2211-3207	elsevier-harvard	author-date
International Journal of Paleopathology	1879-9817	elsevier-harvard	author-date
International Journal for Parasitology: Parasites and Wildlife	2213-2244	elsevier-harvard	author-date
International Journal of Research in Marketing	0167-8116	apa	author-date
International Journal of Sustainable Built Environment	2212-6090	elsevier-harvard	author-date
International Journal of Surgery	1743-9191	elsevier-with-titles	numeric
Indian Journal of Transplantation	2212-0017	american-medical-association	numeric
International Journal of Veterinary Science and Medicine	2314-4599	elsevier-vancouver	numeric
Signal Processing: Image Communication	0923-5965	elsevier-with-titles	numeric
Image and Vision Computing	0262-8856	elsevier-with-titles	numeric
Immunobiology	0171-2985	elsevier-harvard	author-date
Journal of Marine and Island Cultures	2212-6821	elsevier-harvard	author-date
Immunology Letters	0165-2478	elsevier-vancouver	numeric
Industrial Marketing Management	0019-8501	apa	author-date
Immuno-analyse et biologie spécialisée	0923-2532	elsevier-vancouver	numeric
Immunity	1074-7613	elsevier-harvard	author-date
Integrative Medicine Research	2213-4220	american-medical-association	numeric
Interdisciplinary Neurosurgery: Advanced Techniques and Case Management	2214-7519	elsevier-vancouver	numeric
International Biodeterioration & Biodegradation	0964-8305	elsevier-harvard	author-date
International Dairy Journal	0958-6946	apa	author-date
Journal of Wind Engineering & Industrial Aerodynamics	0167-6105	elsevier-harvard	author-date
Industrial Crops & Products	0926-6690	elsevier-harvard	author-date
International Journal of Industrial Organization	0167-7187	elsevier-harvard	author-date
Journal of International Economics	0022-1996	elsevier-harvard	author-date
Injury Extra	1572-3461	elsevier-vancouver	numeric
Infant Behavior and Development	0163-6383	apa	author-date
Information Fusion	1566-2535	elsevier-with-titles	numeric
Information & Management	0378-7206	elsevier-with-titles	numeric
Information and Organization	1471-7727	apa	author-date
Infrared Physics and Technology	1350-4495	elsevier-with-titles	numeric
Information and Software Technology	0950-5849	elsevier-with-titles	numeric
Indian Journal of Rheumatology	0973-3698	american-medical-association	numeric
Innovative Food Science and Emerging Technologies	1466-8564	apa	author-date
Inorganic Chemistry Communications	1387-7003	elsevier-with-titles	numeric
Information Processing in Agriculture	2214-3173	elsevier-vancouver	numeric
Information Sciences	0020-0255	elsevier-with-titles	numeric
Insurance Mathematics and Economics	0167-6687	elsevier-harvard	author-date
Interacting with Computers	0953-5438	elsevier-harvard	author-date
International Economics	2110-7017	vancouver-author-date	author-date
Intelligence	0160-2896	apa	author-date
Journal of International Financial Markets, Institutions & Money	1042-4431	elsevier-harvard	author-date
International Journal of Forecasting	0169-2070	apa	author-date
The Internet and Higher Education	1096-7516	apa	author-date
International Immunopharmacology	1567-5769	elsevier-vancouver	numeric
Journal of International Management	1075-4253	elsevier-harvard	author-date
International Journal of Plasticity	0749-6419	elsevier-harvard	author-date
International Journal of Psychophysiology	0167-8760	elsevier-harvard	author-date
Internet Interventions - The application of information technology in mental and behavioural	2214-7829	elsevier-vancouver	numeric
Journal of Insect Physiology	0022-1910	elsevier-harvard	author-date
Information Processing Letters	0020-0190	elsevier-with-titles	numeric
Information Processing and Management	0306-4573	apa	author-date
International Journal of Pressure Vessels and Piping	0308-0161	elsevier-vancouver	numeric
IRBM	1959-0318	elsevier-vancouver	numeric
IRBM News	1959-7568	elsevier-vancouver	numeric
International Review of Economics Education	1477-3880	elsevier-harvard	author-date
International Review of Law & Economics	0144-8188	elsevier-harvard	author-date
Information Systems	0306-4379	elsevier-with-titles	numeric
ISA Transactions	0019-0578	elsevier-vancouver	numeric
International Strategic Management Review	2306-7748	apa	author-date
International Journal of Adhesion and Adhesives	0143-7496	elsevier-vancouver	numeric
Journal of Analytical and Applied Pyrolysis	0165-2370	elsevier-with-titles	numeric
Journal of Applied Biomedicine	1214-021X	elsevier-harvard	author-date
Journal of Clinical Lipidology	1933-2874	american-medical-association	numeric
Journal of Acute Medicine	2211-5587	american-medical-association	numeric
Journal of the American College of Radiology	1546-1440	elsevier-vancouver	numeric
Journal of Affective Disorders	0165-0327	elsevier-harvard	author-date
Journal of Accounting and Economics	0165-4101	elsevier-harvard	author-date
Journal of Asian Earth Sciences	1367-9120	elsevier-harvard	author-date
International Journal of Applied Earth Observations and Geoinformation	0303-2434	elsevier-harvard	author-date
Journal of Adolescent Health	1054-139X	elsevier-vancouver	numeric
Annals of the ICRP	0146-6453	elsevier-harvard	author-date
Journal of Arthroscopy and Joint Surgery	2214-9635	american-medical-association	numeric
Journal of Applied Logic	1570-8683	elsevier-with-titles	numeric
Journal of Alloys and Compounds	0925-8388	elsevier-with-titles	numeric
Alzheimer's & Dementia: The Journal of the Alzheimer's Association	1552-5260	elsevier-vancouver	numeric
Journal of the Academy of Nutrition and Dietetics	2212-2672	american-medical-association	numeric
Applied Geography	0143-6228	apa	author-date
Japan & The World Economy	0922-1425	elsevier-harvard	author-date
Annual Reviews in Control	1367-5788	apa	author-date
Journal of Advanced Research	2090-1232	elsevier-vancouver	numeric
Journal of Applied Research in Memory and Cognition	2211-3681	apa	author-date
Journal of Applied Research on Medicinal and Aromatic Plants	2214-7861	elsevier-harvard	author-date
Journal of the American Society of Cytopathology	2213-2945	american-medical-association	numeric
Journal of the Anatomical Society of India	0003-2778	american-medical-association	numeric
Advances in Space Research	0273-1177	elsevier-harvard	author-date
Journal of African Trade	2214-8515	elsevier-harvard	author-date
Journal of Air Transport Management	0969-6997	elsevier-harvard	author-date
Journal of the Association of Arab Universities for Basic and Applied Sciences	1815-3852	elsevier-harvard	author-date
Journal of the Association for Vascular Access	1552-8855	american-medical-association	numeric
Biotechnology Advances	0734-9750	vancouver-author-date	author-date
Biomass and Bioenergy	0961-9534	elsevier-vancouver	numeric
Journal of Behavioral and Experimental Finance	2214-6350	elsevier-harvard	author-date
Journal of Banking and Finance	0378-4266	elsevier-harvard	author-date
Advances in Biological Regulation	2212-4926	vancouver-author-date	author-date
Biomaterials	0142-9612	elsevier-vancouver	numeric
Journal of Bone Oncology	2212-1374	elsevier-vancouver	numeric
Journal of Business Research	0148-2963	apa	author-date
Burns	0305-4179	elsevier-vancouver	numeric
Journal of Business Venturing	0883-9026	elsevier-harvard	author-date
Journal of Clinical Anesthesia	0952-8180	elsevier-vancouver	numeric
Computer-Aided Design	0010-4485	elsevier-vancouver	numeric
Journal of Contemporary Accounting & Economics	1815-5669	elsevier-harvard	author-date
Construction and Building Materials	0950-0618	elsevier-vancouver	numeric
Journal of Contextual Behavioral Science	2212-1447	apa	author-date
Journal of Cardiology Cases	1878-5409	elsevier-vancouver	numeric
JCC Open	2212-0149	elsevier-vancouver	numeric
Journal of Cardiovascular Computed Tomography	1934-5925	american-medical-association	numeric
Journal of the American College of Clinical Wound Specialists	2213-5103	american-medical-association	numeric
Journal of Communication Disorders	0021-9924	apa	author-date
Journal of Cardiovascular Disease Research	0975-3583	american-medical-association	numeric
Journal of Clinical Epidemiology	0895-4356	elsevier-vancouver	numeric
Journal of Clinical and Experimental Hepatology	0973-6883	american-medical-association	numeric
Journal of Cystic Fibrosis	1569-1993	elsevier-vancouver	numeric
HOMO - Journal of Comparative Human Biology	0018-442X	elsevier-harvard	author-date
Journal de Chirurgie Viscérale	1878-786X	elsevier-vancouver	numeric
Cities	0264-2751	apa	author-date
Journal of Criminal Justice	0047-2352	apa	author-date
Canadian Journal of Diabetes	1499-2671	elsevier-vancouver	numeric
Canadian Journal of Ophthalmology/Journal canadien d'ophtalmologie	0008-4182	elsevier-vancouver	numeric
Clinical Biomechanics	0268-0033	elsevier-harvard	author-date
Journal of Cleaner Production	0959-6526	elsevier-harvard	author-date
Journal of Co-operative Organization and Management	2213-297X	apa	author-date
Composites Part A	1359-835X	elsevier-vancouver	numeric
Composites Part B	1359-8368	elsevier-vancouver	numeric
Journal of Clinical Orthopaedics and Trauma	0976-5662	american-medical-association	numeric
Journal of CO2 Utilization	2212-9820	elsevier-without-titles	numeric
Journal of Cancer Policy	2213-5383	elsevier-vancouver	numeric
Journal of Consumer Psychology	1057-7408	apa	author-date
Crop Protection	0261-2194	elsevier-harvard	author-date
Cryogenics	0011-2275	elsevier-vancouver	numeric
Journal of Constructional Steel Research	0143-974X	elsevier-vancouver	numeric
Clinical Imaging	0899-7071	elsevier-vancouver	numeric
Journal of Clinical & Translational Endocrinology	2214-6237	elsevier-vancouver	numeric
Journal of Clinical Virology	1386-6532	elsevier-vancouver	numeric
Cytotherapy	1465-3249	elsevier-vancouver	numeric
Zoologischer Anzeiger - A Journal of Comparative Zoology	0044-5231	elsevier-harvard	author-date
Journal of Discrete Algorithms	1570-8667	elsevier-with-titles	numeric
Journal of Diabetes and Its Complications	1056-8727	apa	author-date
Journal of Dermatology & Dermatologic Surgery	2352-2410	elsevier-harvard	author-date
Journal of Destination Marketing & Management	2212-571X	apa	author-date
Japanese Dental Science Review	1882-7616	elsevier-vancouver	numeric
Design Studies	0142-694X	apa	author-date
Journal of English for Academic Purposes	1475-1585	apa	author-date
Journal of Economics and Business	0148-6195	apa	author-date
Journal of Economic Behavior and Organization	0167-2681	elsevier-harvard	author-date
The Journal of Economic Asymmetries	1703-4949	apa	author-date
Journal of Environmental Chemical Engineering	2213-3437	elsevier-with-titles	numeric
Journal of Economics, Finance and Administrative Science	2077-1886	apa	author-date
Journal of Epidemiology and Global Health	2210-6006	elsevier-vancouver	numeric
Electoral Studies	0261-3794	elsevier-harvard	author-date
Journal of Experimental Marine Biology and Ecology	0022-0981	elsevier-harvard	author-date
Journal of Environmental Radioactivity	0265-931X	elsevier-harvard	author-date
The Journal of the Economics of Ageing	2212-828X	elsevier-harvard	author-date
International Journal of Electrical Power and Energy Systems	0142-0615	elsevier-vancouver	numeric
Energy Policy	0301-4215	elsevier-harvard	author-date
Applied Ergonomics	0003-6870	elsevier-harvard	author-date
Journal of Exercise Science & Fitness	1728-869X	american-medical-association	numeric
Journal of Electrical Systems and Information Technology	2314-7172	elsevier-harvard	author-date
Engineering Structures	0141-0296	elsevier-vancouver	numeric
Engineering Science and Technology, an International Journal	2215-0986	elsevier-with-titles	numeric
Journal Européen des Urgences et de Réanimation	2211-4238	elsevier-vancouver	numeric
Journal of Family Business Strategy	1877-8585	apa	author-date
Food Control	0956-7135	apa	author-date
Journal of Fluency Disorders	0094-730X	apa	author-date
Journal of Food and Drug Analysis	1021-9498	elsevier-vancouver	numeric
Journal of Forest Economics	1104-6899	elsevier-harvard	author-date
Flow Measurement and Instrumentation	0955-5986	elsevier-vancouver	numeric
Journal Français d'Ophtalmologie	0181-5512	elsevier-vancouver	numeric
Journal of Food Engineering	0260-8774	elsevier-harvard	author-date
Food Policy	0306-9192	elsevier-harvard	author-date
Journal of Financial Stability	1572-3089	elsevier-harvard	author-date
Futures	0016-3287	elsevier-with-titles	numeric
Fuel	0016-2361	elsevier-vancouver	numeric
Journal of Global Antimicrobial Resistance	2213-7165	elsevier-vancouver	numeric
Global Environmental Change	0959-3780	elsevier-harvard	author-date
Journal of Genetics and Genomics	1673-8527	elsevier-harvard	author-date
Journal of Great Lakes Research	0380-1330	elsevier-harvard	author-date
Journal of Ginseng Research	1226-8453	elsevier-vancouver	numeric
Journal de Gynécologie Obstétrique et Biologie de la Reproduction	0368-2315	elsevier-vancouver	numeric
Health and Place	1353-8292	elsevier-harvard	author-date
Journal of Health Economics	0167-6296	elsevier-harvard	author-date
Journal of Hepatology	0168-8278	elsevier-vancouver	numeric
Journal of Hydro-environment Research	1570-6443	elsevier-harvard	author-date
Journal of Hospitality, Leisure, Sport & Tourism Education	1473-8376	apa	author-date
Journal of Hospitality and Tourism Management	1447-6770	apa	author-date
Journal of Inorganic Biochemistry	0162-0134	elsevier-with-titles	numeric
Journal of Infection and Chemotherapy	1341-321X	elsevier-vancouver	numeric
Journal of Indian College of Cardiology	1561-8811	american-medical-association	numeric
International Journal of Educational Research	0883-0355	apa	author-date
International Journal of Fatigue	0142-1123	elsevier-vancouver	numeric
International Journal of Refrigeration	0140-7007	elsevier-harvard	author-date
Journal of Immunological Methods	0022-1759	elsevier-harvard	author-date
Journal of International Money and Finance	0261-5606	elsevier-harvard	author-date
Injury	0020-1383	elsevier-vancouver	numeric
Journal of Infection and Public Health	1876-0341	elsevier-vancouver	numeric
Journal of Information Security and Applications	2214-2126	vancouver-author-date	author-date
Medical Engineering and Physics	1350-4533	elsevier-vancouver	numeric
Journal of Cardiology	0914-5087	elsevier-vancouver	numeric
Journal of Electromyography and Kinesiology	1050-6411	vancouver-author-date	author-date
